volt_input(V),volt_measured(V),Maximum_error_range(V),actual_error(V),over_range,vdd(V)
2.400000,2.425801,0.014000,0.025801,yes,2.425565
2.450000,2.477123,0.014000,0.027122,yes,2.477123
2.500000,2.527756,0.014000,0.027756,yes,2.528226
2.550000,2.579785,0.014000,0.029785,yes,2.579550
2.600000,2.629702,0.014000,0.029702,yes,2.630405
2.650000,2.681039,0.014000,0.031039,yes,2.681273
2.700000,2.725800,0.014000,0.025800,yes,2.725800
2.750000,2.777594,0.014000,0.027594,yes,2.776658
2.800000,2.826819,0.014000,0.026819,yes,2.826819
2.850000,2.878613,0.014000,0.028613,yes,2.878378
2.900000,2.929703,0.014000,0.029703,yes,2.929938
2.950000,2.980103,0.014000,0.030102,yes,2.980103
3.000000,3.025804,0.014000,0.025804,yes,3.025103
3.050000,3.076895,0.014000,0.026895,yes,3.076428
3.100000,3.126822,0.014000,0.026822,yes,3.126587
3.150000,3.177679,0.014000,0.027679,yes,3.177446
3.200000,3.229706,0.014000,0.029706,yes,3.229472
3.250000,3.278931,0.014000,0.028931,yes,3.278931
3.300000,3.323471,0.014000,0.023471,yes,3.323705
3.350000,3.374561,0.014000,0.024561,yes,3.374561
3.400000,3.425415,0.014000,0.025415,yes,3.424477
3.450000,3.476048,0.014000,0.026048,yes,3.475110
3.500000,3.527374,0.014000,0.027374,yes,3.526436
3.550000,3.577524,0.014000,0.027524,yes,3.575649
3.600000,3.625576,0.014000,0.025575,yes,3.623935
3.650000,3.675267,0.014000,0.025267,yes,3.674327
3.700000,3.726123,0.014000,0.026123,yes,3.723781
3.750000,3.777685,0.014000,0.027685,yes,3.773938
3.800000,3.828544,0.014000,0.028544,yes,3.825029
3.850000,3.879642,0.014000,0.029642,yes,3.874481
3.900000,3.917850,0.014000,0.017850,yes,3.919958
3.950000,3.959100,0.014000,0.009100,no,3.969876
4.000000,4.009018,0.014000,0.009018,no,4.022606
4.050000,4.064098,0.014000,0.014098,yes,4.074646
4.100000,4.122690,0.014000,0.022690,yes,4.125501
4.150000,4.176590,0.014000,0.026590,yes,4.176356